stadium_name,capacity,prefecture,roof_type
県立カシマサッカースタジアム,39342,茨城県,open
埼玉スタジアム２００２,63700,埼玉県,open
日産スタジアム,72327,神奈川県,open
ノエビアスタジアム神戸,30132,兵庫県,closed
エディオンピースウイング広島,28520,広島県,open
味の素スタジアム,47851,東京都,open
